country,frequency_of_observation,measure,unit_of_measure,health_care_provider,asset_type,price_base,year,obs_value,base_per,unit_multiplier
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2004,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2003,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2002,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2001,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2010,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2009,100.0,,Units
Luxembourg,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2007,100.0,,Units
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2016,33.07,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2015,29.052,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2014,19.38,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2013,40.212,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2012,27.942,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2011,39.274,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2010,29.667,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2009,56.12,2015.0,Millions
Greece,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2018,30.539,2015.0,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Hospitals,Total,Constant prices,2018,395.852,2015.0,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Hospitals,Total,Constant prices,2017,372.46,2015.0,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Hospitals,Total,Constant prices,2016,358.791,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2006,0.163,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2005,0.193,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2004,0.2,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2003,0.231,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2018,0.085,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2017,0.066,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2016,0.08,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2015,0.084,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2014,0.067,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2013,0.071,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2012,0.094,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2011,0.117,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2010,0.167,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2009,0.174,,Units
Czechia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Total,Not applicable,2008,0.136,,Units
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2002,1928.24,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2001,2283.891,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2016,3197.088,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2015,3557.0,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2014,2690.739,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2013,3015.121,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2012,2614.062,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2011,3114.399,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2010,3378.682,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2009,3723.98,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2008,2837.663,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2005,1917.219,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2018,3230.877,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2017,3610.335,2015.0,Millions
Israel,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2004,1830.487,2015.0,Millions
Latvia,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2018,0.001,,Units
Latvia,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2017,0.001,,Units
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2018,1.026,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2017,0.567,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2016,0.074,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2015,0.107,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2014,0.046,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2013,0.053,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2012,0.126,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2011,0.091,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2010,1.018,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2009,0.735,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2008,3.945,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2007,3.972,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2006,0.642,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2005,6.991,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2004,6.07,2015.0,Millions
Spain,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2003,1.91,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2014,0.644,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2013,0.622,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2012,2.062,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2011,1.076,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2010,0.784,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2009,0.917,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2004,0.593,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2003,2.28,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2002,2.018,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2001,0.911,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2008,0.707,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2007,0.236,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2006,1.131,2015.0,Millions
Finland,Annual,Gross fixed capital formation,National currency,Providers of preventive care,Total,Constant prices,2005,0.579,2015.0,Millions
Finland,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2003,0.001,,Units
Finland,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2002,0.001,,Units
Finland,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2012,0.001,,Units
Finland,Annual,Gross fixed capital formation,Percentage of GDP,Providers of preventive care,Total,Not applicable,2011,0.001,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2015,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2014,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2013,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2012,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2011,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2018,100.0,,Units
Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ancillary services,Total,Not applicable,2017,100.0,,Units
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2007,364.644,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2006,346.443,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2005,456.693,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2004,376.681,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2018,425.11,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2017,690.713,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2016,689.807,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2015,856.015,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2014,380.178,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2013,348.35,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2012,738.364,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2011,424.235,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2010,274.442,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2003,331.628,2015.0,Millions
Czechia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Total,Constant prices,2009,438.201,2015.0,Millions
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2008,0.041,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2007,0.041,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2006,0.05,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2005,0.042,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2004,0.035,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2003,0.04,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2018,0.016,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2017,0.016,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2016,0.013,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2015,0.015,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2014,0.015,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2013,0.012,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2012,0.016,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2011,0.021,,Units
Spain,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2010,0.032,,Units
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2006,854.877,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2005,966.589,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2004,1267.596,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2003,1139.757,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2002,1108.876,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2001,1392.026,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2018,3794.067,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2017,3046.887,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2016,2643.741,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2015,2666.0,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2014,2837.255,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2013,925.463,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2012,911.86,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2011,999.902,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2010,942.989,2015.0,Millions
Sweden,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Constant prices,2009,1089.196,2015.0,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Current prices,2018,73.784,,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Current prices,2017,43.363,,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Infrastructure,Current prices,2016,28.06,,Millions
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2008,0.355,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2007,0.327,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2006,0.301,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2005,0.276,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2004,0.27,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2003,0.271,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2002,0.267,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2001,0.247,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2018,0.3,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2017,0.297,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2016,0.269,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2015,0.276,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2014,0.286,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2013,0.304,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2012,0.309,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2011,0.308,,Units
United States,Annual,Gross fixed capital formation,Percentage of GDP,Total,Infrastructure,Not applicable,2010,0.311,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2016,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2015,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2014,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2013,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2008,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2007,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2006,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2005,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2004,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2003,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2012,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2011,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2010,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2009,100.0,,Units
Spain,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2018,100.0,,Units
Portugal,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Current prices,2018,17.006,,Millions
Portugal,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Current prices,2017,7.748,,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2015,343.0,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2014,192.127,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2003,4401.985,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2002,4994.893,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2001,4353.42,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2018,546.496,2015.0,Millions
Australia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Total,Constant prices,2017,393.776,2015.0,Millions
Malta,Annual,Gross fixed capital formation,National currency,Providers of ambulatory healthcare,Infrastructure,Current prices,2018,8.481,,Millions
Malta,Annual,Gross fixed capital formation,National currency,Providers of ambulatory healthcare,Infrastructure,Current prices,2017,0.464,,Millions
Latvia,Annual,Gross fixed capital formation,National currency,Providers of healthcare system administration and financing,Intellectual property products,Current prices,2018,2.521,,Millions
Latvia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2018,0.456,,Units
Latvia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2017,0.735,,Units
